QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration,Actual
Drew Brees,Kareem Hunt,Todd Gurley II,Amari Cooper,JuJu Smith-Schuster,T.Y. Hilton,Cameron Brate,Alvin Kamara,Chiefs ,NO,KC,LAR,OAK,PIT,IND,TB,NO,KC,7200,8200,7700,5000,3600,6700,3900,4500,3200,149.23,Scenario1,1,98.74
Carson Palmer,Kareem Hunt,Todd Gurley II,Michael Crabtree,Terrelle Pryor Sr.,Larry Fitzgerald,David Njoku,Jerick McKinnon,Steelers ,ARI,KC,LAR,OAK,WAS,ARI,CLE,MIN,PIT,6100,8200,7700,5800,5700,6800,3000,4100,2600,147.37,Scenario1,2,145.12
Drew Brees,Jordan Howard,Jerick McKinnon,John Brown,Larry Fitzgerald,T.Y. Hilton,Kyle Rudolph,Devonta Freeman,Jaguars ,NO,CHI,MIN,ARI,ARI,IND,MIN,ATL,JAX,7200,5900,4100,4500,6800,6700,3800,7400,3600,145.39,Scenario1,3,135.64
Carson Palmer,Alvin Kamara,Devonta Freeman,Terrelle Pryor Sr.,John Brown,Jamison Crowder,Jordan Reed,Le'Veon Bell,Chiefs ,ARI,NO,ATL,WAS,ARI,WAS,WAS,PIT,KC,6100,4500,7400,5700,4500,4000,5000,9600,3200,144.32,Scenario1,4,113.52
Deshaun Watson,Jordan Howard,Le'Veon Bell,Golden Tate,Amari Cooper,Davante Adams,Cameron Brate,Kyle Rudolph,Steelers ,HOU,CHI,PIT,DET,OAK,GB,TB,MIN,PIT,6700,5900,9600,6800,5000,5700,3900,3800,2600,142.05,Scenario1,5,162.1
Deshaun Watson,Leonard Fournette,Chris Thompson,Golden Tate,Michael Crabtree,JuJu Smith-Schuster,Zach Ertz,Jordan Reed,Packers ,HOU,JAX,WAS,DET,OAK,PIT,PHI,WAS,GB,6700,8000,5000,6800,5800,3600,6300,5000,2800,140.73,Scenario1,6,143.4
Matthew Stafford,DeMarco Murray,Leonard Fournette,Marvin Jones Jr.,Davante Adams,Jordy Nelson,David Njoku,Zach Ertz,Jaguars ,DET,TEN,JAX,DET,GB,GB,CLE,PHI,JAX,6500,5200,8000,4600,5700,7100,3000,6300,3600,139.33,Scenario1,7,139.18
Matthew Stafford,Tevin Coleman,Chris Thompson,Emmanuel Sanders,Jordy Nelson,Jamison Crowder,Travis Kelce,Rob Gronkowski,Patriots ,DET,ATL,WAS,DEN,GB,WAS,KC,NE,NE,6500,5000,5000,6100,7100,4000,6100,6800,3300,137.35,Scenario1,8,129.48
Aaron Rodgers,DeMarco Murray,Ameer Abdullah,Marvin Jones Jr.,Mike Evans,Emmanuel Sanders,Rob Gronkowski,Rishard Matthews,Packers ,GB,TEN,DET,DET,TB,DEN,NE,TEN,GB,7300,5200,4900,4600,6900,6100,6800,5400,2800,135.51,Scenario1,9,118.72
Cam Newton,Ameer Abdullah,Theo Riddick,Mike Evans,Allen Hurns,DeAndre Hopkins,Travis Kelce,Tevin Coleman,Ravens ,CAR,DET,DET,TB,JAX,HOU,KC,ATL,BAL,6700,4900,4300,6900,4300,8100,6100,5000,3700,133.8,Scenario1,10,112.76
